id,features
130,"[0.1981787383556366, 0.8427606821060181, 0.08956790715456009, -0.6327665448188782, -0.051171477884054184, 0.6477415561676025, 0.12195342034101486, 0.7995998859405518, -0.7773339748382568, 0.5361131429672241]"
140,"[0.03407860919833183, 0.5070235729217529, -0.43086540699005127, -0.9340495467185974, -0.13068923354148865, 0.17349514365196228, 0.11382772773504257, -0.6701982021331787, -0.7393466234207153, -0.006892157252877951]"
150,"[0.18179136514663696, 0.2336854338645935, 0.17364336550235748, -0.8046793937683105, -0.612282395362854, -0.4590400159358978, -0.017408214509487152, -0.1376449167728424, -0.970155656337738, 0.362964928150177]"
160,"[-0.13019326329231262, 0.6961000561714172, 0.20454436540603638, -0.5861108303070068, 0.17473110556602478, -0.00850282795727253, -0.05903857573866844, -0.7571269273757935, -0.3420517146587372, 0.11291304975748062]"
170,"[-0.39771416783332825, 0.655558705329895, 0.28577882051467896, -0.9772236347198486, -0.048120029270648956, 0.3749169111251831, -0.0013815079582855105, -0.3396487534046173, -0.5455871820449829, -0.3740731477737427]"
180,"[-0.6827788352966309, 0.1582888513803482, 0.6067448854446411, -0.821458101272583, 0.22120952606201172, 0.8863027095794678, 0.2151084542274475, 0.46104034781455994, -0.7890887260437012, -0.12199070304632187]"
190,"[0.7384713888168335, 1.5506058931350708, 0.7909665107727051, 0.2518936097621918, 0.6042488813400269, 0.1334836632013321, 0.11383071541786194, -0.3530116081237793, -1.0870221853256226, 0.0810186117887497]"
200,"[0.5070505142211914, 0.7420440316200256, -0.0124419666826725, -0.29918843507766724, 0.8660992383956909, 0.881676197052002, -0.0027582859620451927, -1.193070411682129, -0.5057682394981384, 1.7409316301345825]"
210,"[-0.6783623099327087, 0.9218946099281311, -0.012000756338238716, 0.049227822571992874, -0.03285584598779678, -0.35135287046432495, -0.3884846270084381, 0.3608955144882202, -1.1194448471069336, 0.10244318097829819]"
220,"[-0.8910259008407593, 1.1806421279907227, -0.26534634828567505, -0.042778342962265015, -0.07360783964395523, -0.1953461766242981, -0.365553081035614, 0.5482828617095947, -0.22779853641986847, 0.7315693497657776]"
230,"[0.4471724033355713, 0.9314742684364319, -0.5128480792045593, -0.5658541321754456, 0.17001567780971527, -0.2644406855106354, 0.28669631481170654, -0.06982651352882385, -0.881209135055542, 0.310382604598999]"
240,"[-0.9119934439659119, 0.42805901169776917, 0.06303521990776062, -0.30244913697242737, 1.5655548572540283, -0.1135222390294075, 0.6723490357398987, -0.4086344838142395, -0.5011888742446899, 0.8963693380355835]"
250,"[-0.6098573207855225, 0.6840712428092957, 0.4353214502334595, -0.43345919251441956, -0.8513612151145935, 0.6916106343269348, 0.12109317630529404, -0.7545130848884583, -0.6836749315261841, -0.04513462260365486]"
260,"[0.05825613811612129, 0.012431434355676174, 0.8330941200256348, -0.5879199504852295, -0.23059330880641937, -0.4507536292076111, -0.10754455626010895, 0.34882673621177673, -1.2553519010543823, 0.2597959637641907]"
270,"[-0.018351847305893898, 0.7135503888130188, -0.6505648493766785, -0.4848896861076355, -1.0161800384521484, 0.07512213289737701, -0.22372612357139587, -0.6298832297325134, -0.9918857216835022, -0.10707679390907288]"
280,"[0.11912817507982254, 0.31087276339530945, -0.3712654709815979, -0.8582850694656372, 0.11839418113231659, 0.08189316093921661, -0.036389101296663284, -0.0843336209654808, -1.0237644910812378, 0.28452444076538086]"
290,"[0.4364992380142212, 0.44837144017219543, -0.23784410953521729, -0.6058709025382996, -0.38391703367233276, -0.11561265587806702, 0.9431293606758118, 0.5715682506561279, -0.7951852083206177, 0.5879135727882385]"
300,"[0.296002596616745, 0.6392616629600525, -0.006254290696233511, -0.6799132823944092, -0.4667673707008362, -0.0941084623336792, 0.29362568259239197, 0.41085997223854065, -0.8479514122009277, 0.22759343683719635]"
310,"[-0.6687905192375183, 0.7339492440223694, 0.036751437932252884, -0.5501331090927124, 0.16383646428585052, -0.24861739575862885, 0.5646209120750427, 0.2675413191318512, -0.4874889552593231, -0.13340747356414795]"
320,"[0.19289404153823853, 0.4857586622238159, -0.43045875430107117, -0.325187623500824, -0.0619766041636467, 0.06921028345823288, -1.1552444696426392, 0.377863347530365, -1.950081467628479, -1.1540402173995972]"
330,"[-0.4753768742084503, 0.8303377628326416, -0.2687353491783142, -0.5972729921340942, 0.4321250319480896, -0.580226480960846, 0.6651322245597839, 0.2438727170228958, -0.3651736080646515, -0.04446234926581383]"
340,"[0.08131654560565948, -0.24775739014148712, -0.44029831886291504, -0.6607311367988586, 0.12299200892448425, -0.013488166965544224, -0.6938135623931885, 0.24354064464569092, -1.4088456630706787, 0.08743476867675781]"
350,"[0.22780358791351318, 0.4832858443260193, -0.2647949159145355, -0.6759896278381348, 0.1362670660018921, -0.3542277216911316, 0.32019978761672974, -0.46660807728767395, -0.8815732598304749, 0.17166893184185028]"
360,"[0.023619871586561203, 0.9857534170150757, -0.04836980625987053, -0.7975297570228577, -0.7124921083450317, -0.2596000134944916, 0.014472500421106815, -0.6988525390625, -0.17075446248054504, -0.1002160832285881]"
370,"[-0.5771101117134094, 0.9596018195152283, 0.05064970627427101, -0.6395143270492554, -0.5698857307434082, -0.5957837104797363, 0.5892432332038879, 0.2839036285877228, -0.12354572862386703, 0.22602735459804535]"
380,"[0.07622665166854858, 0.4160749316215515, 0.5346620678901672, -0.8874025344848633, -0.1223050206899643, -0.508845865726471, 0.11245166510343552, -0.26794224977493286, -0.4869207739830017, 0.3775719404220581]"
390,"[-0.6250531673431396, 0.7752088904380798, 0.6661602258682251, -0.2092406004667282, 0.6985217928886414, 0.24283620715141296, 1.2809592485427856, 0.9029639959335327, -1.0151684284210205, -0.982895016670227]"
410,"[0.2528299391269684, 1.1301262378692627, 0.5264915823936462, -0.478747695684433, 0.2196059226989746, -0.5563848614692688, 0.3454881012439728, 0.3713137209415436, -0.2756785750389099, -0.20091335475444794]"
420,"[-0.41584277153015137, 0.6256792545318604, 0.053210221230983734, -0.8536417484283447, 0.17693538963794708, 0.12092189490795135, -0.19165149331092834, -0.4192775785923004, -0.35312172770500183, -0.09402725845575333]"
430,"[0.3800826072692871, 0.6365271210670471, -0.3872354030609131, -0.9536457061767578, 0.9604319930076599, 0.13054507970809937, 0.072466641664505, -1.0697723627090454, -0.35977068543434143, 0.07198382169008255]"
440,"[0.41789543628692627, 0.3952106833457947, 0.30839037895202637, -0.9499895572662354, -0.3272993266582489, -0.5385928750038147, 0.11875396966934204, -0.004544420167803764, -0.6776449084281921, 0.0117552001029253]"
450,"[-0.18985380232334137, 0.28578048944473267, -0.17033454775810242, -0.8430432081222534, 0.17119403183460236, 0.055691588670015335, 0.08187954872846603, -0.4951728284358978, -0.8566689491271973, 0.2429780513048172]"
460,"[-0.40544751286506653, 0.6700723171234131, -1.0615979433059692, -0.6372352838516235, -0.28579646348953247, -0.2897408902645111, -0.09924877434968948, -0.8779463171958923, -0.6413999795913696, -0.12416885048151016]"
470,"[-0.8950103521347046, 0.7626568078994751, 0.2225659042596817, 0.025023335590958595, -0.8788740634918213, 0.6065395474433899, 0.24961543083190918, -0.618578314781189, -0.6393860578536987, -0.35570594668388367]"
480,"[0.115965835750103, 0.12412750720977783, 0.765306293964386, -0.6822196841239929, -0.06981544941663742, -0.4669804871082306, 0.2560349106788635, -0.35859665274620056, -0.773237943649292, 0.4625190496444702]"
490,"[0.6483292579650879, 0.33469483256340027, -0.4778191149234772, -1.0595314502716064, 0.2405356764793396, -0.6702844500541687, 0.01499877031892538, -0.0630376785993576, -0.4937343895435333, 0.739094078540802]"
500,"[0.16783279180526733, 0.34762224555015564, -0.06483957916498184, -0.9289204478263855, -0.33030205965042114, -0.36714649200439453, 0.3856305778026581, -0.449169397354126, -0.6753637194633484, 0.025182150304317474]"
510,"[0.04770155996084213, 1.059305191040039, -0.6037495732307434, -0.4027700424194336, 0.48817041516304016, -0.25286489725112915, 0.3042469620704651, -0.7467966675758362, -0.7987927794456482, -0.07430578768253326]"
520,"[-0.6930429935455322, 0.6480449438095093, 0.438796728849411, -1.0067975521087646, 0.0014939205721020699, 0.4132821559906006, -0.17113633453845978, 0.15816658735275269, -0.34349191188812256, -0.5662553906440735]"
530,"[0.1958853304386139, 0.3786047697067261, 0.2924591898918152, -0.6451712846755981, -0.19950149953365326, -0.17248037457466125, 0.2593909204006195, 0.06653475761413574, -0.9161826968193054, 0.166229248046875]"
540,"[0.036616355180740356, 0.37981295585632324, -0.5058240294456482, -0.6504914164543152, 0.5924533605575562, 0.3465670943260193, 0.4235914647579193, -0.5321943163871765, -0.5812917351722717, 0.2920962870121002]"
550,"[0.42970147728919983, 0.13688018918037415, -0.0339416041970253, -1.0566937923431396, 0.9403553009033203, 0.24331946671009064, 0.893363893032074, 0.02084759622812271, -0.43718746304512024, 0.21320444345474243]"
560,"[-0.35225334763526917, 0.13261772692203522, -0.7129647135734558, -0.34570926427841187, -0.8874891996383667, -0.1902342289686203, 0.6915881633758545, 0.08161550015211105, -1.1410704851150513, 1.285831332206726]"
570,"[1.0227783918380737, 0.3559582531452179, -0.4887096881866455, -0.6018144488334656, -0.4202810227870941, 0.5264685750007629, -0.026300320401787758, -0.026414750143885612, -1.3259769678115845, -0.08762150257825851]"
580,"[0.08922579139471054, 1.4725552797317505, -0.017193086445331573, -1.1060254573822021, -0.590273380279541, -0.6798493266105652, 0.0805383250117302, 0.6274664998054504, 0.35459765791893005, 0.40281057357788086]"
590,"[0.12276265770196915, -0.03870004788041115, -0.29836350679397583, -0.7763381004333496, -0.21876558661460876, -0.35399582982063293, 0.2124200463294983, -0.18066973984241486, -1.1775025129318237, 0.42449894547462463]"
600,"[-0.6999194025993347, 1.4611612558364868, 1.1329458951950073, -0.09931860864162445, 0.21048416197299957, 0.2879396378993988, -1.0051733255386353, -0.24740193784236908, -0.684417724609375, 0.05000873655080795]"
610,"[0.05270617827773094, 0.34874972701072693, 0.34338274598121643, -0.6135944128036499, 0.9498541355133057, 0.005578421987593174, -0.24438533186912537, 0.08998562395572662, -0.9185312986373901, 0.36005157232284546]"
630,"[-0.7830671668052673, 2.019859790802002, -1.7746670246124268, 0.5898634791374207, -0.17571817338466644, -0.6951083540916443, -0.6333419680595398, 0.021469665691256523, -1.352691888809204, 0.6264951229095459]"
640,"[0.41018185019493103, 0.5751004815101624, 0.09911171346902847, -0.3437073230743408, 1.030582308769226, 0.4784483015537262, 0.08532391488552094, -0.4085352122783661, -0.7497809529304504, 0.6913801431655884]"
650,"[0.17226725816726685, 0.7121612429618835, -0.8792359828948975, -1.0696982145309448, 0.1988338828086853, 0.01379416137933731, -0.1918150782585144, 0.0925377905368805, -0.8991498947143555, -0.03060019202530384]"
660,"[-0.3233187198638916, -0.07051441073417664, 0.13837303221225739, -0.43582823872566223, -0.1594434380531311, -0.12523211538791656, 0.01227622665464878, -0.06399969011545181, -0.1397598385810852, 0.11369191110134125]"
670,"[0.019072871655225754, 0.37272945046424866, 0.04847989231348038, -0.1805255264043808, -0.8957518339157104, 0.05202170088887215, -0.6799888014793396, 0.9451326131820679, -1.7783337831497192, -0.49897661805152893]"
680,"[0.34788787364959717, 1.1083546876907349, -0.0017493522027507424, 0.1682610660791397, 0.5004287362098694, 0.4541635811328888, 0.02424897812306881, 0.7507712244987488, -1.137027621269226, 0.2730468213558197]"
690,"[0.1460593044757843, 0.28386035561561584, 0.15237998962402344, -0.5159013867378235, -0.2528494596481323, -0.0030460599809885025, -0.0048323567025363445, 0.010248681530356407, -0.3269036114215851, 1.001322627067566]"
700,"[0.189491868019104, 0.9775090217590332, 0.007087011355906725, -0.8574023246765137, -0.20545481145381927, -0.2584383487701416, 0.6312982439994812, 0.3651713728904724, -0.3216869831085205, 0.12789423763751984]"
710,"[-0.5703234076499939, 1.585277795791626, -0.7398311495780945, -0.3509290814399719, -0.21950902044773102, -0.44825175404548645, 0.1069100871682167, -0.3669966459274292, -0.2412157654762268, 0.4397364854812622]"
720,"[0.18939396739006042, 0.5876719951629639, 0.36422085762023926, -0.5803627967834473, -0.6931816935539246, -0.175564244389534, -0.05871942266821861, 0.7261139154434204, -1.210364580154419, -0.28546977043151855]"
730,"[-0.06795179098844528, 0.14394700527191162, 0.12688282132148743, -0.004972450900822878, -0.020639384165406227, -0.009815791621804237, 0.04860014468431473, 0.07416565716266632, -0.19598388671875, 0.017541615292429924]"
750,"[0.44248685240745544, 0.8505674004554749, 0.4231207072734833, -0.2919858694076538, -0.5067833662033081, 0.12661094963550568, -0.09634606540203094, 0.5768918395042419, -1.1772942543029785, 0.6315565705299377]"
760,"[-0.2747231423854828, 0.052026599645614624, -0.10657015442848206, -0.07388900965452194, 0.24787913262844086, 0.8319078683853149, -0.023948198184370995, 0.06267445534467697, -1.5443365573883057, 0.981275200843811]"
780,"[-0.08308984339237213, 0.029802629724144936, 0.8325231075286865, -1.0744032859802246, -0.14463429152965546, 0.005439316388219595, -0.0599408820271492, -0.6169283986091614, -0.5245112180709839, 0.16613975167274475]"
790,"[-0.22710886597633362, 0.14076456427574158, 0.15431798994541168, -0.6003589034080505, 0.03260824829339981, -0.006483692210167646, -0.08247638493776321, -0.07140972465276718, -0.5787020325660706, 0.02275186777114868]"
800,"[0.4362201988697052, 0.8878920078277588, 0.1789301037788391, -0.4739519953727722, -0.7200558185577393, 0.2903084456920624, 0.034273095428943634, 0.39101091027259827, -1.0267515182495117, 0.3201500475406647]"
810,"[-0.46826523542404175, 0.6205146312713623, -0.17730867862701416, -0.043090708553791046, -0.18964073061943054, -0.23506991565227509, -0.04493846744298935, -0.3003352880477905, -0.4450909495353699, 0.136872798204422]"
820,"[2.049654722213745, -0.8351674675941467, 0.7115654349327087, 0.06333507597446442, -0.48914074897766113, -0.23799368739128113, 0.22067701816558838, 0.2742654085159302, -1.3478878736495972, -0.5180142521858215]"
830,"[0.26712849736213684, 0.7198488116264343, 0.32778775691986084, -0.6713209748268127, -0.09293335676193237, 0.1848694086074829, 0.17000184953212738, -0.6411194205284119, -0.6574064493179321, -0.514817476272583]"
840,"[-0.20492394268512726, 0.8767971992492676, -0.3559819161891937, -0.8904911875724792, -0.17194154858589172, 0.08651016652584076, -0.08820869773626328, -0.21012252569198608, -0.44724375009536743, -0.5707997679710388]"
850,"[0.33855533599853516, 0.4281753599643707, -0.15385186672210693, -0.7056567072868347, 0.2585936486721039, 1.0711746215820312, 0.40186551213264465, 1.2944155931472778, -1.153817892074585, -0.533027172088623]"
860,"[-0.9968875050544739, -0.3006935119628906, -0.18938349187374115, 0.49660512804985046, 0.9212635159492493, -0.040605559945106506, 1.5975840091705322, 0.48729056119918823, -1.7871272563934326, 1.2477388381958008]"
870,"[-0.8832225799560547, 0.5626604557037354, 0.399046391248703, 0.053976867347955704, -0.44237804412841797, 0.018014710396528244, -0.025121578946709633, -0.14547331631183624, -0.7288068532943726, -0.35406655073165894]"
880,"[-0.29448574781417847, 1.1624442338943481, -0.08027081936597824, -0.22697055339813232, 0.5485512018203735, 0.23552559316158295, -0.4082786738872528, -0.11908719688653946, -0.42652565240859985, 0.6596382856369019]"
900,"[0.40968814492225647, 0.872367799282074, 0.3975626528263092, -0.08635263890028, -0.6674951314926147, -0.10639698803424835, 0.41394707560539246, 0.08237265050411224, -1.2288295030593872, -0.49234047532081604]"
910,"[0.858839213848114, 0.5757185816764832, 0.5094912648200989, -0.3575747311115265, -0.1982022225856781, -0.24302220344543457, 0.3646720051765442, 0.18043863773345947, -1.2297422885894775, 0.08823347091674805]"
920,"[0.5693463087081909, 0.5247668027877808, 0.4052923917770386, -0.039744626730680466, -0.4293065071105957, -0.0724787563085556, 0.47538089752197266, -0.6982834935188293, -1.506108283996582, 0.009029360488057137]"
930,"[0.7026746869087219, 0.49220868945121765, 0.5537429451942444, -0.29079025983810425, -0.15563276410102844, -0.022676214575767517, 0.059514112770557404, 0.20261943340301514, -1.3654946088790894, 0.21488021314144135]"
940,"[0.20152662694454193, 0.7048816680908203, 0.5121384263038635, -0.15018604695796967, -0.7247322797775269, -0.41724494099617004, 0.14276520907878876, 0.0010287539334967732, -1.1881132125854492, 0.07178645581007004]"
950,"[0.36376604437828064, 0.7726741433143616, 0.6732632517814636, -0.24854353070259094, -0.3525114357471466, -0.12153533101081848, -0.063591368496418, 0.17423690855503082, -1.2526270151138306, 0.07733149826526642]"
960,"[0.39156875014305115, 0.547253429889679, 1.5547847747802734, 0.5368736386299133, 1.3522541522979736, -1.0220446586608887, 1.0281490087509155, -0.006515489891171455, -1.5273010730743408, -0.8213405013084412]"
970,"[1.4147794246673584, 1.605603575706482, 0.2947006821632385, 0.3349604904651642, -0.5141467452049255, -0.6764981150627136, 0.16786392033100128, -0.446222722530365, -0.6161190867424011, 0.7769380807876587]"
980,"[-0.9170060157775879, 0.6195017099380493, 0.325578510761261, 0.17494039237499237, -1.6454111337661743, 0.29207536578178406, -0.5544933676719666, -0.8336515426635742, -1.3889282941818237, 0.6090331673622131]"
990,"[-0.6463311314582825, 0.7576976418495178, -0.46334025263786316, -0.4769574701786041, 0.2336021363735199, -0.3777737617492676, -0.401843398809433, -0.43683159351348877, -0.450962632894516, 0.6227306127548218]"
1000,"[0.676537275314331, 0.662049412727356, -0.30744582414627075, 1.1069408655166626, -0.747340977191925, -0.4201667010784149, -0.6058561205863953, -0.7527666687965393, -2.077939748764038, 0.9516679644584656]"
1010,"[-0.3749622702598572, 0.6091183423995972, -0.2315518856048584, -0.1484176516532898, 0.014067805372178555, -0.8874485492706299, 0.09012901037931442, 0.01944596692919731, -1.1267220973968506, -0.07759188860654831]"
1020,"[-0.008095044642686844, 0.8436296582221985, 0.0751427710056305, -0.7875732183456421, -0.3483600616455078, -0.5717171430587769, 0.18801388144493103, -0.20477479696273804, -0.467032790184021, -0.16532830893993378]"
1030,"[-0.37107640504837036, 0.4568122625350952, -0.10222658514976501, -0.20561251044273376, 0.16917625069618225, -0.5497640371322632, 0.32952746748924255, 0.12316527217626572, -1.1793467998504639, -0.7375589609146118]"
1040,"[1.106667160987854, 0.9036408066749573, -0.09931600093841553, -0.026671210303902626, -1.3866676092147827, -0.6102948784828186, 0.01750820502638817, 0.6224693059921265, -0.5509933829307556, 0.8583492040634155]"
1050,"[0.11674602329730988, 0.8865329027175903, 0.28252655267715454, -0.5903443694114685, 0.47998228669166565, 0.24156810343265533, -0.8137174844741821, 0.33894723653793335, -1.0650469064712524, 0.5505838394165039]"
1060,"[-0.019902653992176056, 0.016552293673157692, -0.010128139518201351, -0.7332200407981873, -0.10414411872625351, -0.03979230672121048, 0.648561954498291, 0.5240474343299866, -0.9016879796981812, 0.6487050652503967]"
1070,"[0.21950948238372803, 0.31695809960365295, 0.1850380301475525, -0.2769568860530853, -0.24306921660900116, -0.06653951853513718, 0.12049738317728043, 0.3786446154117584, -0.787570595741272, 0.20528379082679749]"
1080,"[0.2122776359319687, 0.6727058291435242, 0.3758661150932312, -0.5887277722358704, 0.03096592240035534, -0.07497286051511765, 0.15283231437206268, 0.8363606333732605, -0.8767804503440857, 0.27716293931007385]"
1090,"[-0.08812343329191208, 0.17192202806472778, 0.06033821776509285, -0.4381553530693054, -0.15982656180858612, -0.038023628294467926, 0.28389686346054077, 0.23238930106163025, -1.2894885540008545, 0.6205185055732727]"
1100,"[-0.7334325909614563, 0.08855818212032318, -0.11401177197694778, -0.7288373708724976, 0.20306342840194702, -0.11323537677526474, 0.15875421464443207, -0.4574637711048126, -0.6955939531326294, 0.08274545520544052]"
1120,"[0.3069855570793152, 0.7724639177322388, 0.28309446573257446, -0.5732855796813965, 0.10001928359270096, 0.1234295666217804, 0.5720255374908447, 0.3610072433948517, -0.6376902461051941, 0.5951029658317566]"
1130,"[0.35040655732154846, 0.9125820994377136, 0.19664663076400757, -0.18620122969150543, 0.6805073618888855, -0.9338732361793518, 0.36793068051338196, -0.06666572391986847, -0.5200564861297607, 0.8087664842605591]"
1150,"[0.8763076663017273, 1.1301677227020264, -0.37536874413490295, -0.2802518308162689, -0.2017245590686798, -0.17721930146217346, 0.08800310641527176, 0.28692254424095154, -1.0747127532958984, 0.11083372682332993]"
1160,"[0.37402141094207764, 0.24075938761234283, -0.01578889600932598, -0.3275317847728729, 0.011477154679596424, -0.28611770272254944, 0.4514464735984802, -0.004084919113665819, -1.2877827882766724, -0.23415164649486542]"
1170,"[-1.0740305185317993, 1.2693346738815308, -0.437616229057312, -0.09029049426317215, -0.3306325078010559, -0.3568391501903534, -0.805662989616394, 0.08707083016633987, -0.6626033782958984, -0.5213324427604675]"
1180,"[1.068447470664978, 1.10267972946167, 1.3321771621704102, -1.201464295387268, -0.30430859327316284, -0.3458741009235382, 0.38413864374160767, 0.6076645851135254, -0.014214137569069862, -0.6846719980239868]"
1190,"[0.47241127490997314, 0.5666961073875427, -0.44061583280563354, -0.14101329445838928, 0.20042936503887177, 0.5349796414375305, 0.38205471634864807, 0.15479294955730438, -1.3428176641464233, 0.5691550374031067]"
1200,"[0.3528931438922882, 0.3557789921760559, 0.9852479100227356, -0.3408234715461731, 0.2961827218532562, -0.5301923155784607, 0.3069808781147003, 0.19968831539154053, -0.8832034468650818, 0.7890809774398804]"
1210,"[-0.1577467918395996, -0.14558672904968262, 0.7963972091674805, -0.7122238874435425, -0.10447947680950165, -0.3988840579986572, -0.13504348695278168, 0.2604457437992096, -1.080322265625, 0.09089357405900955]"
1220,"[-0.16405096650123596, 0.3528258204460144, 0.3952926695346832, -0.504942774772644, 0.05110478773713112, -0.49465370178222656, -0.01748056896030903, 0.513180136680603, -1.0112223625183105, 0.38002607226371765]"
1230,"[0.7610443234443665, 0.7131971716880798, 0.03326538950204849, -0.3039257228374481, -0.3242935836315155, -0.04663984477519989, 0.4283308684825897, 0.7280229330062866, -1.0778402090072632, 0.4885523021221161]"
1240,"[0.2879323363304138, 0.3218960165977478, 0.8820968270301819, -0.43573740124702454, 0.02247990109026432, -0.4654090404510498, 0.18820235133171082, -0.05474483594298363, -0.9343706369400024, 0.7842462658882141]"
1250,"[0.3048125207424164, 0.2989228069782257, 0.24773912131786346, -0.2898225784301758, -0.3618713319301605, -0.2957979142665863, 0.020326456055045128, 0.13671860098838806, -1.4541678428649902, 0.556563138961792]"
1260,"[0.5036076307296753, 0.8900399208068848, 0.2394053339958191, -0.013754311949014664, -0.1365523338317871, 0.1517060399055481, -0.1344580501317978, 0.5984905362129211, -1.4017623662948608, 0.2686588764190674]"
1270,"[0.10654697567224503, 0.20669588446617126, 0.5481429100036621, -0.7606921195983887, -0.2554532289505005, -0.7186104655265808, 0.3875548541545868, 0.04929133132100105, -0.8212493062019348, 0.20293961465358734]"
1280,"[0.769770085811615, 0.8258486390113831, -0.050558898597955704, -0.5944355726242065, -0.17606312036514282, -0.06313781440258026, 0.20740818977355957, 0.4736540615558624, -1.0217236280441284, 0.1601371467113495]"
1290,"[0.11866755783557892, 0.35747256875038147, -0.021287482231855392, -0.8115614652633667, 0.2745996415615082, -0.193428635597229, -0.128108948469162, -0.02422259747982025, -1.0564814805984497, -0.22113682329654694]"
1300,"[0.45337143540382385, 0.5438446402549744, -0.19806021451950073, -0.3525463342666626, -0.26028841733932495, 0.15587761998176575, 0.1119854599237442, 0.5353024005889893, -1.4115930795669556, 0.20932959020137787]"
1310,"[1.4238578081130981, 0.39498618245124817, 0.2798480987548828, -1.1382774114608765, 1.266327142715454, -0.8904606699943542, 0.05053234472870827, 0.9806141257286072, -0.4027787148952484, 0.06952167302370071]"
1320,"[0.22432532906532288, 0.9185311198234558, 0.07375188171863556, -0.5741379261016846, 0.2593044638633728, 0.013882891274988651, -0.2579180896282196, -0.2557096779346466, -0.5009822845458984, 0.7443867325782776]"
1330,"[0.306282639503479, 0.06925112009048462, 0.828503429889679, -0.5255749821662903, 1.115878701210022, 0.06422112137079239, 0.5375956892967224, -0.3378732204437256, -0.8544073104858398, -0.6612894535064697]"
1340,"[0.4957737326622009, 1.4091224670410156, 0.5660049915313721, 0.3527137041091919, -0.2663881480693817, -0.42940789461135864, 0.37629806995391846, 0.06774064153432846, -1.0940536260604858, 0.27992790937423706]"
1350,"[0.4383927881717682, 0.5549038052558899, 0.24502277374267578, -0.27041095495224, 0.8884608149528503, -0.5506723523139954, 0.5301937460899353, 0.046639539301395416, -0.8704212307929993, 0.7546843886375427]"
1360,"[-0.1610061377286911, 1.4232239723205566, 1.2216262817382812, -1.020691156387329, 0.36390766501426697, 0.8258867859840393, -0.284883052110672, -0.3417801558971405, -0.9292650818824768, -0.23214128613471985]"
1370,"[-0.1377510279417038, 0.44637465476989746, 0.4756901264190674, -0.764721155166626, -0.2424008697271347, -0.3927607834339142, 0.22765865921974182, -0.377727746963501, -0.5219171643257141, 0.4368421733379364]"
1380,"[0.32880210876464844, -0.0211277324706316, 0.20398904383182526, -0.6633922457695007, 0.23002877831459045, -0.3930324614048004, 1.0324974060058594, -0.4115435481071472, -1.085192084312439, -0.4313327670097351]"
1390,"[-0.15450364351272583, 0.7718536257743835, 0.028529707342386246, -0.7978268265724182, 0.23169434070587158, -0.2925238609313965, -0.05199466645717621, 0.048760123550891876, -0.6402867436408997, -0.3250882923603058]"
1410,"[0.6339524388313293, 0.42853519320487976, -0.10742292553186417, -1.2291810512542725, 0.1456901878118515, 0.5589016675949097, -0.2176501750946045, -0.2926975190639496, -0.5362787842750549, -0.5276380777359009]"
