id,features
240,"[0.10151700675487518, 0.8387241363525391, 0.57783043384552, -1.588494896888733, -0.449114590883255, -0.46224451065063477, -0.164605051279068, 0.04834224283695221, -1.5590547323226929, 0.6124635934829712]"
250,"[-1.3874633312225342, 1.0580352544784546, 0.6879115104675293, -1.4924312829971313, 0.21365410089492798, -1.2208640575408936, -0.5919564366340637, -0.15209738910198212, -1.9372177124023438, 1.3987689018249512]"
260,"[-0.3985390067100525, 0.5205548405647278, 0.9823743104934692, -2.0142383575439453, 0.4150252342224121, -0.0009631492430344224, 0.246272012591362, 0.29520973563194275, -2.010835886001587, 0.47198861837387085]"
270,"[-0.13254176080226898, 1.0103120803833008, 0.13953937590122223, -1.8523805141448975, -0.1055266410112381, 0.09745610505342484, -0.05311402305960655, 0.09505200386047363, -2.4959723949432373, 0.4043285548686981]"
280,"[-0.8119218349456787, 1.3559892177581787, 0.464680016040802, -1.8576463460922241, 0.07516095042228699, -0.162747323513031, -0.4344637989997864, 0.9696723818778992, -1.9323457479476929, 1.2824301719665527]"
290,"[1.045135736465454, -1.637725591659546, 1.0561045408248901, -0.9760430455207825, 1.6207090616226196, -1.8701406717300415, 0.8997179865837097, 0.06342779099941254, -2.7581546306610107, -0.1017104759812355]"
300,"[-0.7411209344863892, 0.5405557751655579, 0.910191535949707, -1.5018352270126343, -0.6328020095825195, -1.2110919952392578, 0.9964149594306946, -0.1567145437002182, -2.3554134368896484, 0.44725969433784485]"
310,"[-0.5853036642074585, 0.7542181015014648, -0.5945047736167908, -1.9639164209365845, 0.42541220784187317, 0.07087564468383789, -0.023005930706858635, 0.2905052602291107, -2.456634283065796, -0.18412970006465912]"
320,"[-0.39608556032180786, 0.40449464321136475, 1.3487485647201538, -1.9939812421798706, 0.7814711332321167, 0.2289477288722992, 0.6480808854103088, 0.08771916478872299, -2.507812023162842, 0.626288890838623]"
330,"[-0.0593254454433918, 1.0315717458724976, 0.7152564525604248, -1.7314380407333374, -0.3806152641773224, -0.6314331293106079, 0.154727503657341, -0.7735950350761414, -2.052546262741089, 0.7335312366485596]"
340,"[0.12912467122077942, 0.968688428401947, 0.7406238317489624, -1.5689600706100464, -0.5534367561340332, -0.6734546422958374, 0.5572986602783203, -0.7415797114372253, -1.5796937942504883, 0.1309177428483963]"
350,"[0.7071850895881653, 0.4828105568885803, 1.3699016571044922, -1.711360216140747, 0.10388346761465073, -1.1463024616241455, 0.6794776320457458, -0.18457414209842682, -1.870951771736145, 0.9159063100814819]"
360,"[-0.5911921858787537, 0.833623468875885, 0.023900235071778297, -1.613700270652771, -0.45149943232536316, -1.3679777383804321, -0.1345164179801941, -0.6352853775024414, -1.9979097843170166, -0.39512163400650024]"
370,"[-0.6443961262702942, 0.3924109637737274, 0.7200360298156738, -2.145250082015991, -0.6339360475540161, -0.38574308156967163, 0.824185311794281, 0.6293514370918274, -2.3408162593841553, -0.3711559772491455]"
380,"[-0.33962810039520264, 0.7249096035957336, 0.8739240169525146, -1.4970365762710571, -0.5503683090209961, -0.35138630867004395, 0.5874859094619751, 0.5452297329902649, -2.045686960220337, 0.900097668170929]"
390,"[0.10181435942649841, 1.3870686292648315, 0.8170624375343323, -0.7770105004310608, 0.6899042129516602, -0.5853369235992432, 0.5936211347579956, 1.1591966152191162, -1.7969119548797607, 0.23849138617515564]"
400,"[-1.3324686288833618, 0.4500597417354584, 0.9857680201530457, -2.0257716178894043, -0.2824554145336151, -0.46924370527267456, 1.7719513177871704, 0.24447563290596008, -1.60245680809021, -0.09681462496519089]"
410,"[-0.33967623114585876, 0.736431896686554, 0.9853693842887878, -1.8497233390808105, -0.024887671694159508, 0.04518678039312363, 0.7870883941650391, 0.21772484481334686, -2.2008354663848877, 0.3885660767555237]"
420,"[0.10887347906827927, 1.318272352218628, 0.7600550651550293, -1.4039756059646606, 0.030984463170170784, -0.42732420563697815, 0.3447796702384949, 1.029008388519287, -1.9970484972000122, 0.2515883147716522]"
430,"[-0.050183482468128204, 0.9074952602386475, 1.2723926305770874, -2.440159559249878, -0.4483838677406311, -1.6495271921157837, 1.1470712423324585, 0.13587884604930878, -1.419851541519165, -1.6276963949203491]"
440,"[1.2777342796325684, -0.18028098344802856, -1.6521952152252197, -1.482917308807373, -0.48506250977516174, -0.4043191969394684, -1.0916346311569214, -0.818911075592041, -2.9067699909210205, 0.47020530700683594]"
450,"[0.5001295804977417, 0.36558640003204346, 0.564678966999054, -0.831415057182312, -1.2289706468582153, -1.0599859952926636, 1.062314510345459, 0.0008315754821524024, -1.9120932817459106, 1.0094971656799316]"
460,"[-2.500917434692383, 2.196481943130493, 1.4878451824188232, -1.0702189207077026, -1.0465399026870728, -0.6379777193069458, -0.5674023628234863, 0.0730813518166542, -1.4484256505966187, -0.033640503883361816]"
470,"[0.31385472416877747, 0.5285168886184692, 0.9280519485473633, -1.1896333694458008, -1.0618224143981934, -0.9055055379867554, -0.3044676184654236, -0.9082263708114624, -1.94504714012146, -1.0117948055267334]"
480,"[0.40186014771461487, 0.624581515789032, 0.38581007719039917, -1.5874971151351929, -0.10156597197055817, 0.13972626626491547, 0.8067631721496582, 0.3115461468696594, -1.884626030921936, 0.623927891254425]"
490,"[-0.3615396320819855, -0.09544704854488373, 1.5706809759140015, -1.7110731601715088, -0.385845810174942, -1.9117484092712402, -0.42361122369766235, -0.8296606540679932, -1.8114855289459229, -0.321534663438797]"
500,"[-0.37401360273361206, 1.1678310632705688, -0.11099772900342941, -2.1691274642944336, -1.0000391006469727, 0.41546085476875305, 0.5051417946815491, 1.3853589296340942, -1.3385835886001587, -1.2803829908370972]"
510,"[-1.187399983406067, 1.4812928438186646, 1.9967714548110962, -1.7986934185028076, -0.6274577975273132, -0.26176247000694275, -0.3111999034881592, -0.1155402660369873, -1.3756874799728394, -0.19106905162334442]"
520,"[0.338039368391037, 1.0043509006500244, 0.4838513135910034, -1.3459833860397339, 0.03249518200755119, -0.43494462966918945, 0.8847686648368835, 0.35477352142333984, -2.3347182273864746, 0.45790714025497437]"
530,"[-0.47177231311798096, 0.8804029822349548, 0.3875817358493805, -1.5426499843597412, 0.39809173345565796, -0.5980775952339172, 0.5478070974349976, 0.5758016705513, -2.191453218460083, 0.798598051071167]"
540,"[-1.7308119535446167, 1.3874744176864624, -2.050477981567383, -2.4598371982574463, 1.4505397081375122, 0.5616335272789001, 0.6109852194786072, 1.8232526779174805, -1.2875821590423584, -0.07479120790958405]"
550,"[0.14404980838298798, 1.1193547248840332, 1.1202634572982788, -2.0926437377929688, -0.30564242601394653, -0.09120878577232361, 0.43561360239982605, 0.3789539933204651, -1.6137524843215942, 0.32909801602363586]"
560,"[-0.06023941934108734, 2.067924976348877, 1.1003797054290771, -2.108647108078003, -0.5124510526657104, -0.1798582822084427, 0.10711462795734406, -0.22940482199192047, -1.543083667755127, 0.17146727442741394]"
570,"[-0.4575900733470917, 0.290788471698761, 0.7305647730827332, -2.044121265411377, -0.08324624598026276, -0.2418670803308487, 0.2537139356136322, 0.28347086906433105, -2.0014913082122803, 0.2229657620191574]"
580,"[0.6011066436767578, -0.8218788504600525, -0.6238746047019958, -1.9988585710525513, -0.13853000104427338, -0.9532061219215393, -0.01125985849648714, -0.527652382850647, -2.5232419967651367, 0.9850426912307739]"
590,"[0.31498652696609497, 1.3781120777130127, 0.1433153599500656, -1.6449640989303589, -0.7242071628570557, 0.11686468124389648, 0.5665252804756165, 0.4768248200416565, -1.8302634954452515, 0.3932262361049652]"
600,"[0.11716541647911072, 0.7670830488204956, 0.37828588485717773, -1.274099349975586, -0.7080097198486328, 0.018904555588960648, 1.8269665241241455, 0.2528949975967407, -2.205122470855713, 0.03175438567996025]"
610,"[0.4297694265842438, -0.11087178438901901, 0.8372536897659302, -1.0979058742523193, -0.4998033344745636, 0.10618557780981064, -0.8482677340507507, 0.8027493357658386, -2.6267850399017334, 0.04958353564143181]"
620,"[-0.09918440878391266, 0.5852518081665039, 1.2566128969192505, -1.2595436573028564, -0.47162893414497375, -0.5738464593887329, 0.6323558688163757, 0.733507513999939, -1.975972056388855, 0.4291447401046753]"
630,"[0.33628159761428833, 0.9724021553993225, 0.49483722448349, -1.3100965023040771, -0.19490107893943787, -0.2012498378753662, 0.3949487805366516, 0.26951467990875244, -2.5210280418395996, -0.1282249093055725]"
640,"[-0.8720207214355469, 1.2115401029586792, 0.6347188949584961, -3.28415584564209, -1.7206255197525024, -0.35189270973205566, 0.37890395522117615, 1.2896780967712402, -0.11591169238090515, 1.862187385559082]"
650,"[-0.43518054485321045, 0.40929892659187317, 1.6780078411102295, -2.016864061355591, 0.7194801568984985, 0.5204254984855652, 0.4745297431945801, 0.30940911173820496, -1.9243628978729248, 0.5164635181427002]"
660,"[0.21158424019813538, 0.7511239051818848, 0.42764711380004883, -1.3682729005813599, -0.3250698149204254, -0.6087525486946106, 0.23801346123218536, 0.13616500794887543, -1.7066622972488403, 0.9257058501243591]"
670,"[0.28263360261917114, 0.7929142117500305, 0.3815474212169647, -0.46440139412879944, -0.40252357721328735, -0.13463208079338074, 0.345015287399292, 1.5614241361618042, -1.4827845096588135, 0.7935686707496643]"
680,"[0.22716496884822845, 0.12021779268980026, 1.0112838745117188, -1.7377278804779053, -0.573665201663971, -1.3329639434814453, 0.9998893141746521, -0.3620798587799072, -1.7250471115112305, 1.3209296464920044]"
690,"[-0.4171261489391327, 1.3520864248275757, 0.8235552906990051, -2.1635842323303223, 0.23356084525585175, -0.6392562985420227, 0.2825264632701874, 0.4278586208820343, -1.9089311361312866, 0.9494385123252869]"
700,"[-1.5956612825393677, 3.1075096130371094, 1.3763295412063599, -1.450696587562561, 0.02609674446284771, 1.4176807403564453, 1.2530666589736938, -0.25873225927352905, -1.2580795288085938, 0.9708207845687866]"
710,"[0.12817449867725372, 0.9574432969093323, 1.0594695806503296, -1.60013747215271, -0.0934167429804802, -0.4161548614501953, 0.20697149634361267, 0.5874873995780945, -1.8099555969238281, 0.9625142216682434]"
720,"[-0.3884633779525757, -0.3566577136516571, 0.6306127309799194, -1.7541751861572266, -0.3893619477748871, 0.046102557331323624, 0.04354444518685341, -0.10719513148069382, -1.9692655801773071, 0.8086231350898743]"
730,"[-0.36863142251968384, 0.3118365705013275, 0.34146130084991455, -1.1321628093719482, 0.36416253447532654, -0.8068183064460754, 0.9251199960708618, 0.831672728061676, -2.2673134803771973, 1.1362868547439575]"
740,"[0.48421424627304077, 1.3725683689117432, 1.2281476259231567, -1.7944964170455933, 0.3975602984428406, 0.242810919880867, 0.785114049911499, 0.3775080442428589, -2.218308925628662, 0.3497283458709717]"
750,"[0.6144894361495972, 0.9462416172027588, 0.23280197381973267, -0.8356605172157288, -0.5763249397277832, -0.3839888274669647, 0.4372442960739136, 0.567639172077179, -2.121579647064209, 0.5150544047355652]"
760,"[-0.06902077794075012, 1.5965325832366943, -0.2244972586631775, -1.862821340560913, 0.6329189538955688, -0.4398043751716614, 0.5950052738189697, 0.5207176804542542, -1.8111655712127686, 1.1367175579071045]"
770,"[-1.0080293416976929, 0.0366315096616745, 1.1023552417755127, -1.8202487230300903, -0.09784780442714691, -0.8552826642990112, -0.024848246946930885, 0.8648877739906311, -1.7369413375854492, 0.8102975487709045]"
780,"[0.0013922924408689141, 0.8253288865089417, 1.2667537927627563, -1.9419324398040771, 0.22275805473327637, -0.4939531981945038, 0.13022372126579285, 0.13175994157791138, -1.809171438217163, 0.07963450253009796]"
790,"[0.603984534740448, 1.1558034420013428, 1.7865939140319824, -1.8845051527023315, 0.39656075835227966, -0.6655135750770569, -0.3621949553489685, -1.0279911756515503, -2.0750014781951904, 0.0603027306497097]"
800,"[-0.8687425255775452, 1.3060848712921143, 1.4677726030349731, -0.882343053817749, 0.0812930315732956, -1.8525086641311646, -0.13773858547210693, 0.4746381342411041, -1.6925535202026367, -1.140275239944458]"
810,"[0.48339614272117615, 0.44629421830177307, 0.8030610084533691, -2.0416407585144043, -0.5664191246032715, -0.15521307289600372, 0.18445813655853271, 0.4463023543357849, -1.9364547729492188, 0.5624056458473206]"
820,"[-0.726222574710846, 0.5519099235534668, 0.49052298069000244, -2.070488452911377, 0.5206202268600464, -0.8083775043487549, 0.07155486941337585, 0.04981698468327522, -2.1590001583099365, 0.5914708375930786]"
830,"[0.26168161630630493, 1.305607557296753, 0.622606098651886, -0.6323632001876831, 0.6838732361793518, -0.37468063831329346, 0.6689474582672119, 0.11709801107645035, -2.0194358825683594, 0.3538759648799896]"
840,"[0.2304595559835434, 1.0203475952148438, 0.8746899962425232, -1.852526068687439, -1.0745279788970947, -0.6726990938186646, 1.2216122150421143, 0.21956704556941986, -1.7832188606262207, 0.3394163250923157]"
850,"[-0.018609872087836266, 1.6578902006149292, 0.2627039849758148, -0.4336565434932709, 0.23076261579990387, -0.1922226846218109, 0.8901571035385132, 0.6907241344451904, -1.744519829750061, 0.6189834475517273]"
860,"[-0.9834662675857544, 0.7971775531768799, 1.450164794921875, -1.1148444414138794, 1.3970798254013062, -0.24977630376815796, 0.15799826383590698, -0.19933561980724335, -0.8394075036048889, 1.974206805229187]"
870,"[0.5619731545448303, 1.068052053451538, -0.3023529052734375, -1.9048011302947998, -0.392936110496521, -0.5979268550872803, 1.9093044996261597, 1.2053638696670532, -1.2273234128952026, -0.008632528595626354]"
880,"[0.8062512278556824, 1.003123164176941, 1.3109381198883057, -1.632979393005371, -0.02228231355547905, -1.1405251026153564, 0.5247856974601746, 0.9126455783843994, -1.7144614458084106, 0.46452391147613525]"
890,"[-1.0135562419891357, 1.1436856985092163, 0.8843705654144287, -2.4427990913391113, 0.5081735253334045, -0.9260225296020508, 0.7591597437858582, -0.7109915018081665, -1.8366570472717285, 0.14940772950649261]"
900,"[0.7617943286895752, 0.9366768598556519, 0.7342160940170288, -0.3836861252784729, -2.201805353164673, -0.09856432676315308, 0.05745207518339157, 0.5134328603744507, -1.8186410665512085, 1.1273002624511719]"
910,"[-0.21993327140808105, 1.1304653882980347, -0.01642005518078804, -1.4713971614837646, -0.8019317984580994, -0.6793273091316223, 0.2664922773838043, 0.3434307873249054, -1.96213698387146, 0.11148657649755478]"
920,"[-0.5138790607452393, 0.8772976994514465, 1.0873459577560425, -1.8129454851150513, -1.1051963567733765, 0.7466477155685425, 0.47659456729888916, 0.08624989539384842, -1.76735520362854, 0.8290553092956543]"
930,"[-0.19977957010269165, 0.5799124836921692, 0.7406100034713745, -1.250341534614563, -0.13265937566757202, -0.25191789865493774, 0.4626641571521759, 0.1739385575056076, -1.6384305953979492, 0.6271423697471619]"
940,"[-0.2277364730834961, 0.32188358902931213, 0.63021320104599, -1.6409317255020142, -0.49978160858154297, 0.19218097627162933, 0.6389875411987305, 1.0676326751708984, -1.7867631912231445, 1.1140938997268677]"
950,"[-0.43831756711006165, 0.6497350335121155, 0.6701232194900513, -1.7683757543563843, 0.01139371283352375, -1.2820103168487549, 0.0027859413530677557, 0.252941370010376, -1.6506587266921997, 0.67889404296875]"
960,"[0.2710782587528229, 1.1838483810424805, 0.4525912404060364, -0.9993292093276978, -0.22667433321475983, -0.3392232060432434, 0.7022210955619812, 0.5777218341827393, -2.236891746520996, 0.7456757426261902]"
970,"[-0.2914566099643707, -0.22604221105575562, 0.8362814784049988, -1.8961372375488281, -0.21564514935016632, -0.3280927538871765, 0.5944303274154663, -0.8509991765022278, -2.2498700618743896, 0.447834312915802]"
980,"[-0.30199649930000305, 0.7334405779838562, 0.32279837131500244, -1.085985779762268, -0.13095688819885254, 0.1229240894317627, -0.2188694030046463, 0.8912036418914795, -2.0083506107330322, 1.1236919164657593]"
990,"[-0.5872322916984558, 1.4478870630264282, 1.100968599319458, -1.5676027536392212, -0.052615564316511154, -0.7308753728866577, 0.34657809138298035, -0.18374942243099213, -1.799341082572937, -0.12474722415208817]"
1000,"[0.29817235469818115, 0.7028376460075378, 0.5618406534194946, -2.208173990249634, -0.6004202365875244, -0.41317081451416016, 0.31555965542793274, 0.1827823668718338, -1.9626413583755493, 0.6217672228813171]"
1010,"[-0.021136760711669922, 0.33679965138435364, 0.7228294014930725, -1.027771234512329, -0.25442278385162354, -0.27623510360717773, 0.12671248614788055, 0.9705003499984741, -1.7201436758041382, 0.9767419695854187]"
1020,"[-0.2517155110836029, 1.3023149967193604, 0.9815974235534668, -1.1264278888702393, -0.3030289113521576, -0.3921006917953491, 0.2546030580997467, 0.11118011921644211, -2.330408811569214, 1.0443474054336548]"
1030,"[-0.22005784511566162, 1.0397511720657349, 1.041770577430725, -1.2843940258026123, 0.5611124038696289, -0.3908308446407318, 0.560390830039978, 0.16313791275024414, -2.4934144020080566, 0.31829166412353516]"
1040,"[-0.11336695402860641, 0.947029173374176, 0.6377108693122864, -1.513702392578125, -0.1496119201183319, -0.2917533814907074, 0.7789589166641235, 0.4569818675518036, -2.4255011081695557, 0.43384888768196106]"
1050,"[0.022358302026987076, 0.573405921459198, 0.6801629662513733, -1.5333902835845947, -0.2774868607521057, -0.5954074263572693, 0.6726021766662598, 0.6219564080238342, -1.6629666090011597, 0.5019125938415527]"
1060,"[-1.590678095817566, 0.4465167224407196, 0.7983152866363525, -1.6770645380020142, 0.0492774173617363, -0.05002240836620331, 0.48272112011909485, -0.5277066826820374, -2.055523633956909, 1.057523488998413]"
1070,"[-0.2995852828025818, 1.9171780347824097, -0.30801844596862793, -4.383563041687012, -0.47674378752708435, -1.2977573871612549, 1.0917154550552368, -1.4697028398513794, 0.488965779542923, 1.4595223665237427]"
1080,"[0.27171164751052856, 1.8089945316314697, 1.6792021989822388, -2.1063125133514404, -1.10379159450531, -0.934351921081543, -0.7987636923789978, 0.2966097593307495, -1.3060611486434937, 1.6820956468582153]"
1090,"[0.13195066154003143, 0.15063849091529846, 1.0985026359558105, -2.01007080078125, -0.03206693008542061, 0.0007852512644603848, -0.0325811393558979, 0.24044618010520935, -1.6088258028030396, 0.5380815267562866]"
1100,"[0.41670066118240356, 0.9761043787002563, 0.5881741046905518, -0.5943010449409485, -0.05747755616903305, 0.387493759393692, 0.34334319829940796, 1.2739250659942627, -1.358730435371399, 0.7420775294303894]"
1110,"[0.49193352460861206, 1.3524792194366455, 0.579634964466095, -1.8058669567108154, 0.32903754711151123, 0.07738564908504486, -0.02513514645397663, -0.060510288923978806, -2.390712261199951, 0.4169906973838806]"
1120,"[-0.10122337192296982, 1.1845362186431885, 0.7190017700195312, -1.7427971363067627, -0.18454547226428986, -0.14876791834831238, 0.7687534689903259, 0.7025477290153503, -2.1010570526123047, 0.17785093188285828]"
1130,"[-0.36068570613861084, 0.9911827445030212, 0.41533106565475464, -1.3422164916992188, -0.3767490088939667, -0.8792021870613098, 0.9042451977729797, 0.6031378507614136, -2.0232224464416504, 0.659540057182312]"
1140,"[0.21389740705490112, 1.4405457973480225, 0.9186310768127441, -1.2851197719573975, -0.46832790970802307, -0.5695208311080933, 0.08265247941017151, 0.7113378643989563, -1.5122123956680298, 0.5670651197433472]"
1150,"[0.274226576089859, 0.7914458513259888, 0.3597903847694397, -0.4286329448223114, -0.05841917172074318, 0.05910959467291832, 0.27123191952705383, 0.8229672908782959, -1.6681774854660034, 0.3957022428512573]"
1160,"[-0.4717646539211273, 0.9556693434715271, 0.8334943652153015, -1.5744177103042603, -0.17388750612735748, -0.1330922394990921, 0.43589678406715393, 0.09498550742864609, -1.7801305055618286, 0.2771417200565338]"
1170,"[0.3483489155769348, 0.9188536405563354, 0.18404798209667206, -1.110474705696106, -0.7509341239929199, -0.17649786174297333, 0.5880106687545776, 0.0689978376030922, -2.233515739440918, 0.6921001076698303]"
1180,"[0.25165531039237976, 0.699200451374054, 0.7971038818359375, -1.7949172258377075, -0.07978891581296921, -0.6570711135864258, -0.1595040112733841, 0.62591153383255, -2.159083366394043, 0.4150863289833069]"
1190,"[0.11562805622816086, 0.8056513071060181, 0.9283853769302368, -1.77277672290802, -0.7826647162437439, -0.7053949236869812, 0.7307828664779663, -0.31848570704460144, -2.2149813175201416, -0.12635470926761627]"
1200,"[-0.7898052930831909, 1.4734842777252197, 0.6814625859260559, -1.0386266708374023, 0.19309937953948975, 0.6376495361328125, 0.2241390496492386, -0.5130776762962341, -2.6029932498931885, -0.344122052192688]"
1210,"[-0.1564512699842453, 0.5451987385749817, 0.9061075448989868, -1.52150297164917, -0.07348982244729996, -0.7825820446014404, 0.03646198287606239, 0.29288601875305176, -2.45340633392334, -0.13412059843540192]"
1220,"[-1.19096040725708, 0.9364559650421143, 0.10889287292957306, -2.4237372875213623, -0.32535994052886963, -0.49028509855270386, 0.019614296033978462, 0.2193083018064499, -1.339085578918457, 0.48158252239227295]"
1230,"[-0.21218302845954895, 0.8238407969474792, 1.1671348810195923, -2.094625473022461, 0.2505916357040405, -0.5528210401535034, 0.4898974597454071, 0.29997289180755615, -2.0343151092529297, 0.37696993350982666]"
1240,"[-0.2900807857513428, -0.3624069392681122, 0.8964217901229858, -1.8111419677734375, -0.9088895916938782, 0.751974880695343, 1.201373815536499, -0.2574059069156647, -2.1723685264587402, -0.31918853521347046]"
1250,"[0.6606046557426453, 0.6206284165382385, -0.05714649707078934, -1.0931942462921143, -0.13816803693771362, 1.4187647104263306, 0.7589967250823975, 0.09259577095508575, -2.4503586292266846, 0.529990553855896]"
1260,"[0.1189853847026825, 0.7768744826316833, 0.4785810708999634, -1.4600231647491455, -0.18270184099674225, -0.46465712785720825, 0.4690014719963074, 0.36036136746406555, -2.2368669509887695, 0.4549744427204132]"
1270,"[2.3268027305603027, 1.5925723314285278, 0.5833254456520081, -1.1486234664916992, -0.6513561010360718, -0.13714934885501862, 0.5048380494117737, 0.5503133535385132, -1.3432412147521973, 0.4216613471508026]"
1280,"[-0.2934853732585907, -0.43702301383018494, 0.4067917466163635, -1.7126266956329346, -0.07947053760290146, -0.3548162281513214, 1.098746418952942, 0.15522661805152893, -2.527984142303467, 1.004278540611267]"
1290,"[0.4478914439678192, 0.6520746350288391, 0.19600458443164825, -1.8948016166687012, 0.3210701644420624, -1.293379783630371, 0.6917171478271484, -0.12014899402856827, -2.4000680446624756, 0.7850805521011353]"
1300,"[-0.10956781357526779, 1.1326979398727417, 1.296460747718811, -1.7515727281570435, -0.009069940075278282, -0.12861070036888123, 0.8967028260231018, 0.7879522442817688, -1.6786574125289917, 1.0885422229766846]"
1310,"[1.1917450428009033, -0.5396312475204468, 0.48448020219802856, -2.3225631713867188, 0.8968669772148132, -0.716032862663269, 0.8190567493438721, 0.5425254106521606, -1.6561131477355957, 0.24301692843437195]"
1320,"[-0.05888848006725311, 1.087792992591858, 0.6234530210494995, -1.4106296300888062, 0.2734820544719696, -0.38441020250320435, 0.7557861804962158, 0.8583045601844788, -2.144254207611084, 0.7919712662696838]"
1330,"[0.39008864760398865, 0.2818776071071625, 0.4458167850971222, -2.4110660552978516, -0.5244969129562378, -0.45940855145454407, -0.5906823873519897, 0.4129897356033325, -2.083498477935791, 0.3721163272857666]"
